Бренд;Артикул;Назва;Посилання на фото
KVІTKA;02630;Шампунь-кондиціонер для сухого та пошкодженого волосся з гліцерином та олією ромашки 750 ml Jerelia KVІTKA (02630);https://cdn1.jerelia.com/Pictures/jerelia_02630_1_158019414.png
KVІTKA;02629;Шампунь-кондиціонер для жирного волосся з олією календули та вітаміном Е 750 ml Jerelia KVІTKA (02629);https://cdn1.jerelia.com/Pictures/jerelia_02629_1_76979618.png
KVІTKA;02631;Шампунь-кондиціонер для всіх типів волосся. Укріплюючий з молочними протеїнами та екстрактом вівса. 750 ml Jerelia KVІTKA (02631);https://cdn1.jerelia.com/Pictures/jerelia_02631_1_158019434.png
Hair System;06909;Шампунь проти лупи 250 ml Jerelia Hair System (06909);https://cdn1.jerelia.com/Pictures/jerelia_06909_1_67806721.png
Hair System;06902;Шампунь проти випадіння волосся. Крок 2 250 ml Jerelia Hair System (06902);https://cdn1.jerelia.com/Pictures/jerelia_06902_1_94316920.png
Omega;23704;Шампунь для волосся. Omega hair shampoo 250 ml Jerelia Omega (23704);https://cdn1.jerelia.com/Pictures/jerelia_23704_1.png
YoUnique;21513;Чорна маска-плівка 100 ml Jerelia YoUnique (21513);https://cdn1.jerelia.com/Pictures/jerelia_21513_1_122388723.png
Be Healthy;09312;Цинк Актив (Цинк С) 60 pills Jerelia Be Healthy (09312);https://cdn1.jerelia.com/Pictures/jerelia_09312_1.png
Be Healthy;09325;Хондровіт.Фітокомплекс проти болю в суглобах 60 capsules Jerelia Be Healthy (09325);https://cdn1.jerelia.com/Pictures/jerelia_09325_1_148232818.png
Be Healthy;09335;Хлорела 90 pills Jerelia Be Healthy (09335);https://cdn1.jerelia.com/Pictures/jerelia_09335_1.png
Be Healthy;09320;Хітозан.Природній сорбент 60 capsules Jerelia Be Healthy (09320);https://cdn1.jerelia.com/Pictures/jerelia_09320_1_120353932.png
PODIUM;21706;"Хайлайтер для обличчя ""Сонячне сяйво"" 7 g Jerelia PODIUM (21706)";https://cdn1.jerelia.com/Pictures/jerelia_21706_1.png
Be Healthy;09316;"Фітокомплекс антипаразитарний ""Добропузик"" 60 capsules Jerelia Be Healthy (09316)";https://cdn1.jerelia.com/Pictures/jerelia_09316_1.png
MOLFAR;11015;"Фітогель для ніг з екстрактом п‘явки ""VARICOSTOP effect"" 100 ml Jerelia MOLFAR (11015)";https://cdn1.jerelia.com/Pictures/jerelia_11015_1_161006804.png
Oselya;52452;Універсальний професійний засіб АнтиЖир 500 ml Oselya Jerelia (52452);https://cdn1.jerelia.com/Pictures/jerelia_52452_1_165594146.png
SPA;21554;Універсальний зволожуючий гель з алоє вера 200 ml Jerelia SPA (21554);https://cdn1.jerelia.com/Pictures/jerelia_21554_1_81120964.png
Oselya;52405;Універсальний засіб для кухонних поверхонь 500 ml Oselya Jerelia (52405);https://cdn1.jerelia.com/Pictures/jerelia_52405_1_165593918.png
Oselya;52456;Універсальний гель для очищення ванної кімнати 500 ml Oselya Jerelia (52456);https://cdn1.jerelia.com/Pictures/jerelia_52456_1_165594159.png
PERFI LAB;06424;Туалетна вода для жінок SOLOMIA 2.0. 30 ml Jerelia PERFI LAB (06424);https://cdn1.jerelia.com/Pictures/jerelia_06424_1_94919218.png
PERFI LAB;06423;Туалетна вода для жінок ROKSOLANA 2.0. 30 ml Jerelia PERFI LAB (06423);https://cdn1.jerelia.com/Pictures/jerelia_06423_1_94918889.png
PERFI LAB;06409;Туалетна вода la Reine 50 ml Jerelia PERFI LAB (06409);https://cdn1.jerelia.com/Pictures/jerelia_06409_1.png
ROZKISHNA;00815;Тонік з гіалуроновою кислотою та екстрактом зеленого чаю. Антивікова формула 200 ml Jerelia ROZKISHNA (00815);https://cdn1.jerelia.com/Pictures/jerelia_00815_1_165366408.png
YoUnique;05505;Тонік з АНА ВНА кислотами та рослинними екстрактами 100 ml Jerelia YoUnique (05505);https://cdn1.jerelia.com/Pictures/jerelia_05505_1_120353832.png
Ikra;00526;Тонізуючий лосьйон для обличчя, шиї та декольте 200 ml Jerelia Ikra (00526);https://cdn1.jerelia.com/Pictures/jerelia_00526_1_165247131.png
SPA;21544;"Тонізуючий гель для душу ""Лемонграс&Лайм"" 300 ml Jerelia SPA (21544)";https://cdn1.jerelia.com/Pictures/jerelia_21544_1_94931068.png
Be Healthy;09342;Спіруліна 90 pills Jerelia Be Healthy (09342);https://cdn1.jerelia.com/Pictures/jerelia_09342_1.png
PODIUM;21793;Скульптор для обличчя.Medium 40 g Jerelia PODIUM (21793);https://cdn1.jerelia.com/Pictures/jerelia_21793_1.png
El'curl;71672;Скраб-пілінг для глибокого очищення шкіри голови та волосся 200 ml Jerelia El'curl (71672);https://cdn1.jerelia.com/Pictures/jerelia_71672_1_90268192.png
KVІTKA;02635;Сімейний гель для душу «ENERGY MANGO» 750 ml Jerelia KVІTKA (02635);https://cdn1.jerelia.com/Pictures/jerelia_02635_1_106004159.png
KVІTKA;02634;Сімейний гель для душу  «MOISTURIZING GRAPE» 750 ml Jerelia KVІTKA (02634);https://cdn1.jerelia.com/Pictures/jerelia_02634_1_106004037.png
KVІTKA;02636;Сімейний гель для душу  «COCONUT RELAX» 750 ml Jerelia KVІTKA (02636);https://cdn1.jerelia.com/Pictures/jerelia_02636_1_106004177.png
Nature Therapy ;21806;Сироп для покращення зору 200 ml Jerelia Nature Therapy  (21806);https://cdn1.jerelia.com/Pictures/jerelia_21806_1_94833839.png
Nature Therapy ;21808;"Сироп для зміцнення імунітету ""Ехінацея"" 200 ml Jerelia Nature Therapy  (21808)";https://cdn1.jerelia.com/Pictures/jerelia_21808_1.png
Nature Therapy ;21805;"Сироп ""Покращення памяті з гінкго білоба"" 200 ml Jerelia Nature Therapy  (21805)";https://cdn1.jerelia.com/Pictures/jerelia_21805_1_94833817.png
Hair System;06905;Сироватка-спрей проти випадіння волосся. Крок 5 150 ml Jerelia Hair System (06905);https://cdn1.jerelia.com/Pictures/jerelia_06905_1_94316963.png
ROZKISHNA;00816;Сироватка-концентрат з гіалуроновою кислотою. Антивікова формула 30 ml Jerelia ROZKISHNA (00816);https://cdn1.jerelia.com/Pictures/jerelia_00816_1_165366419.png
Ikra;00516;Сироватка молодості для ліфтингу та пружності 30 ml Jerelia Ikra (00516);https://cdn1.jerelia.com/Pictures/jerelia_00516_1_165247114.png
YoUnique;05510;Сироватка анти-акне з рослинними екстрактами і азелаїновою кислотою 30 ml Jerelia YoUnique (05510);https://cdn1.jerelia.com/Pictures/jerelia_05510_1_94314559.png
YoUnique;05508;Себорегулююча та порозвужуюча маска з чорною вулканічною глиною 75 ml Jerelia YoUnique (05508);https://cdn1.jerelia.com/Pictures/jerelia_05508_1_94314437.png
MineraL;07710;Сапропелевий скраб для тіла 250 ml Jerelia MineraL (07710);https://cdn1.jerelia.com/Pictures/jerelia_07710_1.png
PODIUM;21713;"Рум’яна компактні PODIUM ""Скандинавський нюд"" 7 g Jerelia PODIUM (21713)";https://cdn1.jerelia.com/Pictures/jerelia_21713_1.png
PODIUM;21715;"Рум’яна компактні PODIUM ""Балтійський світанок"" 7 g Jerelia PODIUM (21715)";https://cdn1.jerelia.com/Pictures/jerelia_21713_1.png
Nature Therapy ;21809;Роликовий бальзам від застуди та головного болю 15 ml Jerelia Nature Therapy  (21809);https://cdn1.jerelia.com/Pictures/jerelia_21809_1.png
TouchCare;23507;Рідкий тальк для ніг 75 ml Jerelia TouchCare (23507);https://cdn1.jerelia.com/Pictures/jerelia_23507_1.png
SPA;21547;"Рідке мило зволожуюче ""Грейпфрут&червоний апельсин"" 300 ml Jerelia SPA (21547)";https://cdn1.jerelia.com/Pictures/jerelia_21547_1_94919019.png
Be Healthy;09351;Псиліум. Натуральна  клітковина 90 capsules Jerelia Be Healthy (09351);https://cdn1.jerelia.com/Pictures/jerelia_09351_1_63031721.png
YoUnique;05512;Протизапальний  флюїд АнтиАкне 30 ml Jerelia YoUnique (05512);https://cdn1.jerelia.com/Pictures/jerelia_05512_1_123906641.png
Be Healthy;09347;Природний афродизіак.Мака перуанська & Гуарана 60 capsules Jerelia Be Healthy (09347);https://cdn1.jerelia.com/Pictures/jerelia_09347_1_148232741.png
PODIUM;21728;Помада-блиск для губ. Оксамитовий нюд 10 ml Jerelia PODIUM (21728);https://cdn1.jerelia.com/Pictures/jerelia_21728_1.png
PODIUM;21727;Помада-блиск для губ. Ніжний бузок 10 ml Jerelia PODIUM (21727);https://cdn1.jerelia.com/Pictures/jerelia_21727_1.png
PODIUM;21729;Помада-блиск для губ. Карамельний світанок 10 ml Jerelia PODIUM (21729);https://cdn1.jerelia.com/Pictures/jerelia_21729_1.png
PODIUM;21725;Помада-блиск для губ. Вишневий сироп 10 ml Jerelia PODIUM (21725);https://cdn1.jerelia.com/Pictures/jerelia_21725_1.png
Oselya;52411;Поліроль для меблів 300 ml Oselya Jerelia (52411);https://cdn1.jerelia.com/Pictures/jerelia_52411_1_85488753.png
Oselya;52439;Плямовивідник для кольорових речей з ензимами Oxy Power 400 ml Oselya Jerelia (52439);https://cdn1.jerelia.com/Pictures/jerelia_52439_1_120354249.png
Oselya;52420;Пінний плямовивідник для килимів та текстилю 150 ml Oselya Jerelia (52420);https://cdn1.jerelia.com/Pictures/jerelia_52420_1.png
YoUnique;05509;Пінка для вмивання з чорною глиною 150 ml Jerelia YoUnique (05509);https://cdn1.jerelia.com/Pictures/jerelia_05509_1.png
Oselya;52408;Піна для чищення ванни кахлю та сантехніки 500 ml Oselya Jerelia (52408);https://cdn1.jerelia.com/Pictures/jerelia_52408_1_165593943.png
Rozkishna formula;04902;Питний колагеновий бустер 125 g Jerelia Rozkishna formula (04902);https://cdn1.jerelia.com/Pictures/jerelia_04902_1.png
WOW effect;05414;Патчі для зменшення темних кіл та набряків під очима 30 ml Jerelia WOW effect (05414);https://cdn1.jerelia.com/Pictures/jerelia_05414_1_64073165.png
PERFI LAB;06450;Парфумований спрей для тіла та волосся «Si» 100 ml Jerelia PERFI LAB (06450);https://cdn1.jerelia.com/Pictures/jerelia_06450_1_57329303.png
PERFI LAB;06449;Парфумований спрей для тіла та волосся «Pink Molécule» 100 ml Jerelia PERFI LAB (06449);https://cdn1.jerelia.com/Pictures/jerelia_06449_1_57329405.png
PERFI LAB;06448;Парфумований спрей для тіла та волосся «Ange Ou Demon» 100 ml Jerelia PERFI LAB (06448);https://cdn1.jerelia.com/Pictures/jerelia_06448_1_57329347.png
PERFI LAB;06447;"Парфумований спрей для тіла та волосся ""Good Girl"" 100 ml Jerelia PERFI LAB (06447)";https://cdn1.jerelia.com/Pictures/jerelia_06447_1_57329380.png
PERFI LAB;24121;Парфумована вода VILNA 55 ml Jerelia PERFI LAB (24121);https://cdn1.jerelia.com/Pictures/jerelia_24121_1_131472066.png
PERFI LAB;06475;Парфумована вода VETIVER 60 ml Jerelia PERFI LAB (06475);https://cdn1.jerelia.com/Pictures/jerelia_06475_1_165681009.png
PERFI LAB;06472;Парфумована вода PASSION 55 ml Jerelia PERFI LAB (06472);https://cdn1.jerelia.com/Pictures/jerelia_06472_1_131471996.png
PERFI LAB;06469;Парфумована вода ONE CANDY 55 ml Jerelia PERFI LAB (06469);https://cdn1.jerelia.com/Pictures/jerelia_06469_1_131471953.png
PERFI LAB;06467;Парфумована вода Life Essence 55 ml Jerelia PERFI LAB (06467);https://cdn1.jerelia.com/Pictures/jerelia_06467_1_131471924.png
PERFI LAB;24122;Парфумована вода LELIA 55 ml Jerelia PERFI LAB (24122);https://cdn1.jerelia.com/Pictures/jerelia_24122_1_131472082.png
PERFI LAB;06470;Парфумована вода KISS ME 55 ml Jerelia PERFI LAB (06470);https://cdn1.jerelia.com/Pictures/jerelia_06470_1_131471967.png
PERFI LAB;06473;Парфумована вода JULLIETTA 55 ml Jerelia PERFI LAB (06473);https://cdn1.jerelia.com/Pictures/jerelia_06473_1_131472009.png
PERFI LAB;06476;Парфумована вода INTENSITY SPORT 60 ml Jerelia PERFI LAB (06476);https://cdn1.jerelia.com/Pictures/jerelia_06476_1_95515489.png
PERFI LAB;06471;Парфумована вода HYPNOTIC 55 ml Jerelia PERFI LAB (06471);https://cdn1.jerelia.com/Pictures/jerelia_06471_1_131471981.png
PERFI LAB;06465;Парфумована вода FREYA 55 ml Jerelia PERFI LAB (06465);https://cdn1.jerelia.com/Pictures/jerelia_06465_1_131471877.png
PERFI LAB;06466;Парфумована вода FLORINE 55 ml Jerelia PERFI LAB (06466);https://cdn1.jerelia.com/Pictures/jerelia_06466_1_131471908.png
PERFI LAB;06479;Парфумована вода EGOISTE 60 ml Jerelia PERFI LAB (06479);https://cdn1.jerelia.com/Pictures/jerelia_06479_1_95516068.png
PERFI LAB;06478;Парфумована вода COURAGE 60 ml Jerelia PERFI LAB (06478);https://cdn1.jerelia.com/Pictures/jerelia_06478_1_95515847.png
PERFI LAB;06477;Парфумована вода BLUE ICE 60 ml Jerelia PERFI LAB (06477);https://cdn1.jerelia.com/Pictures/jerelia_06477_1_95515662.png
PERFI LAB;06474;Парфумована вода ARTEMIDA 55 ml Jerelia PERFI LAB (06474);https://cdn1.jerelia.com/Pictures/jerelia_06474_1_131472026.png
PERFI LAB;06468;Парфумована вода AMORE 55 ml Jerelia PERFI LAB (06468);https://cdn1.jerelia.com/Pictures/jerelia_06468_1_164553979.png
YoUnique;05504;Очищуючий гель з AHA-кислотами та рослинними екстрактами 150 ml Jerelia YoUnique (05504);https://cdn1.jerelia.com/Pictures/jerelia_05504_1.png
YASNA;08314;"Ополіскувач для ротової порожнини ""Свіжість подиху"". Протизапальний 250 ml Jerelia YASNA (08314)";https://cdn1.jerelia.com/Pictures/jerelia_08314_1_106879243.png
Be Healthy;09365;Омега 3 1000 мг 60 capsules Jerelia Be Healthy (09365);https://cdn1.jerelia.com/Pictures/jerelia_09365_1_102128411.png
Be Healthy;09306;Омега - 3 Преміум 90 capsules Jerelia Be Healthy (09306);https://cdn1.jerelia.com/Pictures/jerelia_09306_1_94316989.png
Be Healthy;09307;Омега - 3 для дітей 60 capsules Jerelia Be Healthy (09307);https://cdn1.jerelia.com/Pictures/jerelia_09307_1_148232718.png
Be Healthy;09352;Олія чорного кмину (Black Seed Oil) 60 capsules Jerelia Be Healthy (09352);https://cdn1.jerelia.com/Pictures/jerelia_09352_1_64084995.png
Rozkishna formula;04903;Нутрикомплекс для краси волосся, нігтів та шкіри 60 capsules Jerelia Rozkishna formula (04903);https://cdn1.jerelia.com/Pictures/jerelia_04903_1_94310979.png
Ikra;00519;Нічний крем моделюючий з еластином 50 ml Jerelia Ikra (00519);https://cdn1.jerelia.com/Pictures/jerelia_00519_1_165248985.png
ROZKISHNA;00812;Нічний крем з гіалуроновою кислотою та пептидним комплексом. Антивікова формула 50 ml Jerelia ROZKISHNA (00812);https://cdn1.jerelia.com/Pictures/jerelia_00812_1_165366351.png
LaFemme;07801;Ніжна пінка для інтимної гігієни 150 ml Jerelia LaFemme (07801);https://cdn1.jerelia.com/Pictures/jerelia_07801_1.png
Oselya;06702;Нейтралізатор запахів з ароматом лайму 1000 ml Oselya Jerelia (06702);https://cdn1.jerelia.com/Pictures/jerelia_06702_1_118853332.png
Be Healthy;09343;Натуральний Ресвератрол. Дієтична добавка 60 capsules Jerelia Be Healthy (09343);https://cdn1.jerelia.com/Pictures/jerelia_09343_1_150472783.png
MOLFAR;11023;Натуральне дігтярне мило 75 g Jerelia MOLFAR (11023);https://cdn1.jerelia.com/Pictures/jerelia_11023_1_55989842.png
Nature Therapy ;21807;Назальний спрей з екстрактом цикламену 30 ml Jerelia Nature Therapy  (21807);https://cdn1.jerelia.com/Pictures/jerelia_21807_1.png
BLOT;01607;Набір вируючих бомбочок для ванн з 3-х кульок 3 pcs Jerelia BLOT (01607);https://cdn1.jerelia.com/Pictures/jerelia_01607_1_157378523.png
Be Healthy;09360;Морський йод (Sea Iodine) 60 capsules Jerelia Be Healthy (09360);https://cdn1.jerelia.com/Pictures/jerelia_09360_1_89843230.png
Ikra;00517;Міцелярний мус для очищення шкіри з біозолотом 200 ml Jerelia Ikra (00517);https://cdn1.jerelia.com/Pictures/jerelia_00517_1_165247028.png
PODIUM;21799;Міцелярна вода для очищення шкіри та очей від макіяжу 200 ml Jerelia PODIUM (21799);https://cdn1.jerelia.com/Pictures/jerelia_21799_1_147710771.png
SPA;21550;Мигдальна двофазна олія для душу 200 ml Jerelia SPA (21550);https://cdn1.jerelia.com/Pictures/jerelia_21550_1_64340784.png
SPA;21551;Мерехтливий цукровий скраб для тіла з глітером 200 g Jerelia SPA (21551);https://cdn1.jerelia.com/Pictures/jerelia_21551_1_57328881.png
Be Healthy;09313;Мелатонін 40 capsules Jerelia Be Healthy (09313);https://cdn1.jerelia.com/Pictures/jerelia_09313_1.png
Nature Therapy ;21815;Медікрем.Антисептичний, протизапальний крем з цинком 50 ml Jerelia Nature Therapy  (21815);https://cdn1.jerelia.com/Pictures/jerelia_21815_1_120354194.png
YoUnique;05507;Маска-скраб з АНА-кислотами. Рівний тон обличчя 75 ml Jerelia YoUnique (05507);https://cdn1.jerelia.com/Pictures/jerelia_05507_1.png
Hair System;06904;Маска проти випадіння волосся. Крок 4 250 ml Jerelia Hair System (06904);https://cdn1.jerelia.com/Pictures/jerelia_06904_1_94316949.png
Hair System;06910;Маска для глибокого очищення шкіри та позбавлення від лупи 150 ml Jerelia Hair System (06910);https://cdn1.jerelia.com/Pictures/jerelia_06910_1_67806734.png
Omega;23702;Маска для волосся. Hair mask with Omega 250 ml Jerelia Omega (23702);https://cdn1.jerelia.com/Pictures/jerelia_23702_1.png
ROZKISHNA;00818;Масажний протинабряковий ролик для шкіри навколо очей 15 ml Jerelia ROZKISHNA (00818);https://cdn1.jerelia.com/Pictures/jerelia_00818_1_165366430.png
MOLFAR;11021;"Масажний гель з екстрактом червоного перцю та хріну ""Double effect"" 500 ml Jerelia MOLFAR (11021)";https://cdn1.jerelia.com/Pictures/jerelia_11021_1.png
MOLFAR;11022;Масажний гель з екстрактом кінського каштану FORTE+ 500 ml Jerelia MOLFAR (11022);https://cdn1.jerelia.com/Pictures/jerelia_11022_1.png
Be Healthy;09305;"Магній + B6 ""Антистрес"". Magnesium + B6 ""Antistress"" 60 pills Jerelia Be Healthy (09305)";https://cdn1.jerelia.com/Pictures/jerelia_09305_1.png
YoUnique;05511;Локальний SOS- лосьйон (Бовтушка) АнтиАкне 100 ml Jerelia YoUnique (05511);https://cdn1.jerelia.com/Pictures/jerelia_05511_1_64085042.png
TouchCare;23506;Крем-олія для рук від сухості та тріщин 75 ml Jerelia TouchCare (23506);https://cdn1.jerelia.com/Pictures/jerelia_23506_1.png
SPA;21546;"Крем-мило ""Лемонграс&Лайм"" 300 ml Jerelia SPA (21546)";https://cdn1.jerelia.com/Pictures/jerelia_21546_1_94919005.png
TouchCare;23510;"Крем-маска для рук 2в1 ""Парафінові рукавички"" 150 ml Jerelia TouchCare (23510)";https://cdn1.jerelia.com/Pictures/jerelia_23510_1.png
